"id","shifts_id","weekends","start","end","attendance_start","attendance_end","attendance_late","applicable_from","applicable_to","changed_by","created_at","updated_at"
"1","1","[""Fri"",""Sat""]","09:00:00","17:00:00","08:00:00","09:00:00","10:00:00","2023-01-12","2025-12-31","1","2026-01-15 20:46:42","2026-01-18 14:00:05"
"3","1","[""Fri"",""Sat""]","08:00:00","13:00:00","07:00:00","09:00:00","10:00:00","2026-01-01","2026-01-31","1","2026-01-18 14:00:05","2026-01-18 14:00:05"
"6","1","[""Fri"",""Sat""]","10:00:00","17:00:00","09:00:00","10:00:00","11:00:00","2026-02-01",NULL,"1","2026-01-18 14:08:34","2026-01-18 14:08:34"
