,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA50d,Signal,Return,Strategy
29,29,29,29,29,2023-02-14,151.01226806640625,151.5741355635304,148.7056873791277,149.9476888936107,61707600,,0,-0.004224986067134728,-0.0
30,30,30,30,30,2023-02-15,153.11184692382812,153.27941747242824,150.69683660205456,150.92354792770303,65573800,,0,0.013903366158957375,0.0
31,31,31,31,31,2023-02-16,151.51498413085938,154.09756497312395,151.16012443154224,151.3178281549916,68167900,,0,-0.01042938756896572,-0.0
32,32,32,32,32,2023-02-17,150.37156677246094,150.8151376986906,148.69584602843153,150.17442580979125,59144100,,0,-0.007546562902391862,-0.0
33,33,33,33,33,2023-02-21,146.35968017578125,149.1394173925265,146.29068760704538,148.05511953332274,58867200,,0,-0.026679821742832455,-0.0
34,34,34,34,34,2023-02-22,146.7835235595703,147.80866542554767,145.0585140913541,146.74408634882758,51011300,,0,0.002895902637119807,0.0
35,35,35,35,35,2023-02-23,147.26654052734375,148.19311959888688,145.13739706863274,147.946689634791,48394200,,0,0.0032906756566408735,0.0
36,36,36,36,36,2023-02-24,144.61495971679688,145.0881010134071,143.6390916917033,145.00924162382364,55469600,,0,-0.018005317440417112,-0.0
37,37,37,37,37,2023-02-27,145.8076629638672,147.039812645864,145.34437348016522,145.60067024018994,44998500,,0,0.00824744030220681,0.0
38,38,38,38,38,2023-02-28,145.30496215820312,146.95111245136155,144.73324285815977,144.9501024216552,50547000,,0,-0.0034476981212477886,-0.0
39,39,39,39,39,2023-03-01,143.2349395751953,145.1275197577975,142.93922063146897,144.73323786008925,55479000,,0,-0.01424605569047288,-0.0
40,40,40,40,40,2023-03-02,143.8263702392578,144.61494903595985,141.84506394442167,142.31822024697658,52238100,,0,0.004129094938822631,0.0
41,41,41,41,41,2023-03-03,148.87322998046875,148.952089353373,145.2260704687506,145.9259229618336,70732300,,0,0.03508994722466685,0.0
42,42,42,42,42,2023-03-06,151.63327026367188,154.06799923846452,151.26855877090114,151.59383305095145,87558000,,0,0.018539533827305554,0.0
43,43,43,43,43,2023-03-07,149.43511962890625,151.83041139396585,148.9718301446463,151.50512207262017,56182000,,0,-0.014496492959251706,-0.0
44,44,44,44,44,2023-03-08,150.68699645996094,151.2784344169459,149.6618543808646,150.62785567244086,47204800,,0,0.00837739370881141,0.0
45,45,45,45,45,2023-03-09,148.43951416015625,152.33310365607178,148.08465449485655,151.36710263865675,53833600,,0,-0.014914905417216073,-0.0
46,46,46,46,46,2023-03-10,146.37937927246094,148.78453780981002,145.5020893181875,148.06496662146847,68572400,,0,-0.013878615133922967,-0.0
47,47,47,47,47,2023-03-13,148.3212432861328,150.95311305935627,145.59079552733544,145.69922529511118,84457100,,0,0.013265966991548916,0.0
48,48,48,48,48,2023-03-14,150.41098022460938,151.209410853691,147.95654755608294,149.11968969699433,73695900,,0,0.014089262550511128,0.0
49,49,49,49,49,2023-03-15,150.80526733398438,151.06154904978908,147.7791005346977,149.03096880678774,77167900,142.6122431945801,0,0.002621398443027223,0.0
50,50,50,50,50,2023-03-16,153.62440490722656,154.22569446185167,149.4745187940127,149.98709719489494,76161100,143.22281082153322,1,0.018693893277604845,0.0
51,51,51,51,51,2023-03-17,152.78656005859375,154.50171782493953,152.07684064085686,153.8511391851991,98944600,143.7912287902832,1,-0.005453852525181713,-0.005453852525181713
52,52,52,52,52,2023-03-20,155.1522979736328,155.56631354554972,151.94870846939224,152.85558396503848,73641400,144.43333847045898,1,0.015483939910236888,0.015483939910236888
53,53,53,53,53,2023-03-21,157.00543212890625,157.1237136794573,154.30455474450915,155.07342994575768,73938300,145.021962890625,1,0.0119439684714715,0.0119439684714715
54,54,54,54,54,2023-03-22,155.57618713378906,159.82463786522675,155.55646852262672,157.02519671590775,75701800,145.5715704345703,1,-0.009103156341391694,-0.009103156341391694
55,55,55,55,55,2023-03-23,156.66043090820312,159.24302685232914,155.4282812343858,156.56186795883147,67622100,146.13144561767578,1,0.006969214211951735,0.006969214211951735
56,56,56,56,56,2023-03-24,157.96157836914062,158.0502895303303,155.59585715875076,156.59142861861952,59196500,146.66301422119142,1,0.008305527141693636,0.008305527141693636
57,57,57,57,57,2023-03-27,156.0197296142578,158.47417734472043,155.61558088418133,157.6560281012329,52390300,147.15732055664063,1,-0.012293171383391144,-0.012293171383391144
58,58,58,58,58,2023-03-28,155.39871215820312,156.22672817707905,153.7525619849842,155.714149696992,45992200,147.6126333618164,1,-0.003980377722677009,-0.003980377722677009
