,Strategy
0,
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,0.9945461474748183
52,1.009945640260276
53,1.022008399145445
54,1.0127048969058086
55,1.0197626542658376
56,1.0282323206689281
57,1.015592084529003
58,1.0115496444204166
59,1.0315689552439238
60,1.041771152736576
61,1.0580688441485833
62,1.0662175905292939
63,1.0627528263260502
64,1.0507541322550054
65,1.05652900412786
66,1.03965363681051
67,1.0317614476621757
68,1.0272700572282543
69,1.0623036773501282
70,1.060057932470521
71,1.0601861614240626
72,1.0681427133624006
73,1.0755857535348134
74,1.06929727057074
75,1.0588388138215912
76,1.0608279021435292
77,1.0508182963944221
78,1.0507541322550047
79,1.0805905564093665
80,1.0887392034647838
81,1.088161825535321
82,1.081424491571206
83,1.0744306997000077
84,1.0637792539061408
85,1.1136992523487201
86,1.1132500040475055
87,1.1021496079283037
88,1.113635088209303
89,1.1148543061835259
90,1.1088145337536646
91,1.1056018571446022
92,1.1056018571446022
93,1.1095852980290184
94,1.1247492905442615
95,1.1254560893307846
96,1.119287591320916
97,1.102324718420243
98,1.1041237974562592
99,1.1115131026450422
100,1.1271909049020903
101,1.139206086971809
102,1.138884670322963
103,1.1571326138672609
104,1.162658477230024
105,1.153855673793488
106,1.151478422225663
107,1.1425473898355858
108,1.1602168628721954
109,1.1627227406947347
110,1.1809061227984423
111,1.1778219731188013
112,1.1819343382338119
113,1.1951703274824443
114,1.1881668017325113
115,1.18874497426432
116,1.1819986016985216
117,1.2015314172358584
118,1.1994751850157066
119,1.1904157250215013
120,1.208342251916953
121,1.2159884123139921
122,1.2181728734876853
123,1.2463159007180125
124,1.236613607426115
125,1.2293531271426328
126,1.2324371774969807
127,1.2251765978882057
128,1.2118761465242753
129,1.2084708781716682
130,1.2193296158524756
131,1.2242769093822576
132,1.2252408613529155
133,1.246444328322141
134,1.244773776215546
135,1.2535764803267886
136,1.2409186636099645
137,1.2332725032129253
138,1.2384769499268418
139,1.2440670767543156
140,1.2497212683959134
141,1.2414968361417726
142,1.2582670179736075
143,1.2622504588580232
144,1.256853321075267
145,1.2373845703520554
146,1.2283250110325568
147,1.1693406856564046
148,1.1693406856564046
149,1.1693406856564046
150,1.1693406856564046
151,1.1693406856564046
152,1.1693406856564046
153,1.1693406856564046
154,1.1693406856564046
155,1.1693406856564046
156,1.1693406856564046
157,1.1693406856564046
158,1.1693406856564046
159,1.1693406856564046
160,1.1693406856564046
161,1.1693406856564046
162,1.1693406856564046
163,1.1693406856564046
164,1.1693406856564046
165,1.1693406856564046
166,1.1707117206777848
167,1.1806197863546768
168,1.1821152073066383
169,1.139803500419272
170,1.139803500419272
171,1.139803500419272
172,1.139803500419272
173,1.139803500419272
174,1.139803500419272
175,1.139803500419272
176,1.139803500419272
177,1.139803500419272
178,1.139803500419272
179,1.139803500419272
180,1.139803500419272
181,1.139803500419272
182,1.139803500419272
183,1.139803500419272
184,1.139803500419272
185,1.139803500419272
186,1.139803500419272
187,1.139803500419272
188,1.139803500419272
189,1.139803500419272
190,1.139803500419272
191,1.139803500419272
192,1.139803500419272
193,1.139803500419272
194,1.139803500419272
195,1.1455723557339135
196,1.1337812766034157
197,1.1329570705326428
198,1.123004454385467
199,1.123004454385467
200,1.123004454385467
201,1.123004454385467
202,1.123004454385467
203,1.123004454385467
204,1.123004454385467
205,1.123004454385467
206,1.123004454385467
207,1.123004454385467
208,1.123004454385467
209,1.123004454385467
210,1.123004454385467
211,1.1171859787786247
212,1.1335027237916038
213,1.149882636697019
214,1.1566495093782432
215,1.153614131053914
216,1.1804009298301954
217,1.1702686827250521
218,1.186986890448538
219,1.190596247195792
220,1.2013619306009748
221,1.2012353995521379
222,1.2123807737358132
223,1.2072512870268413
224,1.2114939824421533
225,1.2030084939795471
226,1.2018684453242499
227,1.2057314499610696
228,1.1992088524991276
229,1.202881670034764
230,1.211050928507261
231,1.199588836173566
232,1.2248559931480403
233,1.2178901464872414
234,1.2302388348506321
235,1.2393577596132777
236,1.2233361560822684
237,1.2330250563565728
238,1.2536061710848956
239,1.25455603263901
240,1.2511364724650111
241,1.240497417740647
242,1.24714674151539
243,1.2337851213374318
244,1.232835064519354
245,1.2259957489073914
246,1.2225130208409563
247,1.2231461642450498
248,1.2258692178585548
249,1.2192200893477758
250,1.175588161271244
251,1.175588161271244
252,1.175588161271244
253,1.175588161271244
254,1.175588161271244
255,1.175588161271244
256,1.175588161271244
257,1.175588161271244
258,1.175588161271244
259,1.175588161271244
260,1.175588161271244
261,1.175588161271244
262,1.175588161271244
263,1.1898870979019562
264,1.1978036079254353
265,1.1936306247582025
266,1.1916053016048687
267,1.180865866158477
268,1.1766313834093667
269,1.1539861965999647
270,1.1539861965999647
271,1.1539861965999647
272,1.1539861965999647
273,1.1539861965999647
274,1.1539861965999647
275,1.1539861965999647
276,1.1539861965999647
277,1.1539861965999647
278,1.1539861965999647
279,1.1539861965999647
280,1.1539861965999647
281,1.1539861965999647
282,1.1539861965999647
283,1.1539861965999647
284,1.1539861965999647
285,1.1539861965999647
286,1.1539861965999647
287,1.1539861965999647
288,1.1539861965999647
289,1.1539861965999647
290,1.1539861965999647
291,1.1539861965999647
292,1.1539861965999647
293,1.1539861965999647
294,1.1539861965999647
295,1.1539861965999647
296,1.1539861965999647
297,1.1539861965999647
298,1.1539861965999647
299,1.1539861965999647
300,1.1539861965999647
301,1.1539861965999647
302,1.1539861965999647
303,1.1539861965999647
304,1.1539861965999647
305,1.1539861965999647
306,1.1539861965999647
307,1.1539861965999647
308,1.1539861965999647
309,1.1539861965999647
310,1.1539861965999647
311,1.1539861965999647
312,1.1539861965999647
313,1.1539861965999647
314,1.1539861965999647
315,1.1539861965999647
316,1.1539861965999647
317,1.1539861965999647
318,1.1539861965999647
319,1.1539861965999647
320,1.1539861965999647
321,1.1539861965999647
322,1.1539861965999647
323,1.1539861965999647
324,1.1539861965999647
325,1.1539861965999647
326,1.1539861965999647
327,1.1539861965999647
328,1.1539861965999647
329,1.1539861965999647
330,1.1539861965999647
331,1.1539861965999647
332,1.132901987183749
333,1.132901987183749
334,1.132901987183749
335,1.2006680805116459
336,1.189733675123903
337,1.1942513004219864
338,1.1964774993872467
339,1.2084594744447668
340,1.200132752348185
341,1.221309568299943
342,1.2288494285668055
343,1.2438635184725806
344,1.2446501786721067
345,1.2448467681106652
346,1.2525176880032336
347,1.2611065293512267
348,1.2515998673629045
349,1.2252435750032484
350,1.2455681001275314
351,1.2456335291252878
352,1.2476005324769404
353,1.2541567398453313
354,1.2604510295925038
355,1.2721210827408433
356,1.2742192465332987
357,1.2841848188417844
358,1.2750714365456772
359,1.2908721866509776
360,1.2661548453183225
361,1.3581399509559022
362,1.396953359923811
363,1.4046241790012828
364,1.3931506144764052
365,1.4205561903624828
366,1.404952029695741
367,1.3747273612607287
368,1.3603691743740636
369,1.3646306285114402
370,1.3707281271898606
371,1.3981335014457448
372,1.4037063583609544
373,1.3808901881218085
374,1.4210806304955002
375,1.4441588191709611
376,1.452550970265299
377,1.4839554777769546
378,1.4936589308340285
379,1.4992974183771879
380,1.527489352017501
381,1.4920199798070275
382,1.5114921132887378
383,1.5367994245672632
384,1.5395532897486353
385,1.5006087203399237
386,1.4697939811439444
387,1.4706462719714202
388,1.4683516195555024
389,1.4752355768032548
390,1.432816314271789
391,1.4259322562089398
392,1.4290136696394797
393,1.4308493109201363
394,1.4345209967418362
395,1.4560256633880524
396,1.431636273564952
397,1.441470685432635
398,1.372039429152596
399,1.372039429152596
400,1.372039429152596
401,1.372039429152596
402,1.372039429152596
403,1.3818220353939843
404,1.4055798352225979
405,1.4084384086342532
406,1.4274953045371221
407,1.4359439944098924
408,1.4349276539467632
409,1.4388659854370829
410,1.4381672208794438
411,1.4262884185306997
412,1.4409622791100012
413,1.4431220879640172
414,1.4485215613162756
415,1.438738955074887
416,1.45970159910738
417,1.4546833144072717
418,1.415108283174032
419,1.4029118073542355
420,1.4029118073542355
421,1.3930702534924018
422,1.3930702534924018
423,1.3930702534924018
424,1.3930702534924018
425,1.3930702534924018
426,1.3930702534924018
427,1.3930702534924018
428,1.3930702534924018
429,1.3930702534924018
430,1.3930702534924018
431,1.3889921961664191
432,1.3784621850934118
433,1.3839402925435043
434,1.3778534026142313
435,1.3848533727760215
436,1.386496674130295
437,1.4182085199369043
438,1.3768797432898052
439,1.380349111622861
440,1.373592673149993
441,1.3804707372379426
442,1.3493675804242602
443,1.3493675804242602
444,1.371899750093944
445,1.3689113967309239
446,1.360006004568568
447,1.382418746588031
448,1.3976595874111422
449,1.385287672300831
450,1.387498965664528
451,1.4045327817867268
452,1.4133782306319465
453,1.4096727605867392
454,1.3791912625341385
455,1.3780559195841526
456,1.3830762871403235
457,1.3949699408688894
458,1.3965837287942409
459,1.3752467535948685
460,1.3502042165534787
461,1.3502042165534787
462,1.3502042165534787
463,1.3502042165534787
464,1.3502042165534787
465,1.3502042165534787
466,1.3485999255739338
467,1.3323781534701566
468,1.3323781534701566
469,1.3323781534701566
470,1.3323781534701566
471,1.313579410926718
472,1.313579410926718
473,1.315077063153556
474,1.3192249720740477
475,1.3164597289214317
476,1.3242368261416235
477,1.341519352791852
478,1.3541354266670684
479,1.353386556362082
480,1.367212595358892
481,1.3802318730971257
482,1.3978599778061884
483,1.3999338880748664
484,1.4001066771042832
485,1.3989545145531437
486,1.4214793101045493
487,1.4273552860854792
488,1.4199814811114402
489,1.4284499112155704
490,1.4294291963541579
491,1.4461930907667304
492,1.460249456214006
493,1.4289683666869561
494,1.4389920748221081
495,1.4660679831570227
496,1.4705613817532135
497,1.4874406161572895
498,1.4921641644376746
499,1.4724047888051555
500,1.4528756512399668
501,1.4426214398880786
502,1.404772953113025
